,location_id,year,PAINDX2_yes_value,PAINDX2_yes_sample,PAINDX2_no_value,PAINDX2_no_sample,PASTAE2_yes_value,PASTAE2_yes_sample,PASTAE2_no_value,PASTAE2_no_sample,PASTRNG_yes_value,PASTRNG_yes_sample,PASTRNG_no_value,PASTRNG_no_sample,TOTINDA_yes_value,TOTINDA_yes_sample,TOTINDA_no_value,TOTINDA_no_sample
97,23,2015,53.9,4576.0,46.1,3695.0,18.9,1606.0,81.1,6593.0,27.9,2289.0,72.1,6149.0,75.2,6397,24.8,2131
98,23,2016,,,,,,,,,,,,,79.4,7895,20.6,2109
99,23,2017,52.8,4921.0,47.2,3913.0,20.1,1714.0,79.9,7002.0,29.5,2474.0,70.5,6485.0,74.8,6873,25.2,2235
100,23,2018,,,,,,,,,,,,,77.5,8313,22.5,2632
101,23,2019,51.5,5284.0,48.5,4884.0,20.2,1947.0,79.8,7836.0,30.6,3063.0,69.4,7455.0,69.9,7494,30.1,3523
102,23,2020,,,,,,,,,,,,,78.5,8470,21.5,2518
103,23,2021,,,,,,,,,,,,,73.5,8614,26.5,3134
104,24,2015,52.9,5778.0,47.1,5048.0,22.9,2099.0,77.1,8576.0,32.6,3047.0,67.4,8155.0,75.9,8387,24.1,3006
105,24,2016,,,,,,,,,,,,,76.8,13876,23.2,4572
106,24,2017,50.6,6329.0,49.4,5494.0,21.6,2462.0,78.4,9217.0,31.9,3528.0,68.1,8584.0,74.4,9064,25.6,3239
107,24,2018,,,,,,,,,,,,,77.0,13269,23.0,4248
108,24,2019,51.6,8397.0,48.4,7069.0,24.0,3707.0,76.0,11351.0,36.6,5658.0,63.4,10109.0,76.6,12337,23.4,4090
109,24,2020,,,,,,,,,,,,,79.0,11110,21.0,3156
110,24,2021,,,,,,,,,,,,,78.3,12128,21.7,3468
111,25,2015,51.8,4070.0,48.2,3624.0,21.3,1609.0,78.7,5942.0,31.5,2422.0,68.5,5503.0,73.5,5989,26.5,2116
112,25,2016,,,,,,,,,,,,,80.0,6635,20.0,1758
113,25,2017,50.9,3399.0,49.1,2740.0,21.6,1402.0,78.4,4645.0,31.2,2029.0,68.8,4329.0,75.2,4961,24.8,1500
114,25,2018,,,,,,,,,,,,,77.6,5213,22.4,1445
115,25,2019,52.8,3705.0,47.2,3134.0,22.2,1548.0,77.8,5137.0,33.2,2378.0,66.8,4814.0,73.6,5497,26.4,1911
116,25,2020,,,,,,,,,,,,,80.1,5811,19.9,1360
117,25,2021,,,,,,,,,,,,,78.9,6115,21.1,1554
118,26,2015,52.1,4389.0,47.9,3729.0,19.5,1591.0,80.5,6446.0,29.3,2346.0,70.7,5929.0,74.5,6357,25.5,2034
119,26,2016,,,,,,,,,,,,,76.1,9188,23.9,2827
120,26,2017,49.5,5166.0,50.5,4791.0,19.1,1930.0,80.9,7920.0,29.9,2951.0,70.1,7186.0,72.8,7644,27.2,2648
121,26,2018,,,,,,,,,,,,,76.2,7888,23.8,2422
122,26,2019,51.0,5137.0,49.0,4550.0,23.3,2258.0,76.7,7194.0,35.3,3514.0,64.7,6337.0,74.6,7685,25.4,2509
123,26,2020,,,,,,,,,,,,,79.2,5774,20.8,1484
124,26,2021,,,,,,,,,,,,,76.9,7272,23.1,2132
125,27,2015,54.9,8496.0,45.1,6563.0,21.8,3215.0,78.2,11641.0,31.9,4679.0,68.1,10697.0,78.2,12197,21.8,3432
126,27,2016,,,,,,,,,,,,,82.0,13689,18.0,3109
127,27,2017,51.1,7995.0,48.9,7306.0,20.8,3062.0,79.2,11993.0,31.4,4696.0,68.6,10885.0,75.4,11819,24.6,4083
128,27,2018,,,,,,,,,,,,,79.5,13449,20.5,3520
129,27,2019,57.9,8330.0,42.1,5727.0,25.5,3500.0,74.5,10160.0,36.5,5131.0,63.5,9024.0,80.1,11878,19.9,2869
130,27,2020,,,,,,,,,,,,,80.9,12755,19.1,3067
131,27,2021,,,,,,,,,,,,,79.8,12742,20.2,3202
132,28,2015,38.0,2058.0,62.0,3408.0,15.3,651.0,84.7,4773.0,26.5,1167.0,73.5,4491.0,63.2,3480,36.8,2235
133,28,2016,,,,,,,,,,,,,69.7,3432,30.3,1695
134,28,2017,44.7,1984.0,55.3,2386.0,16.6,630.0,83.4,3671.0,25.9,1009.0,74.1,3457.0,66.8,3031,33.2,1535
135,28,2018,,,,,,,,,,,,,68.0,3826,32.0,2015
136,28,2019,38.5,1740.0,61.5,2962.0,15.7,674.0,84.3,3927.0,29.0,1264.0,71.0,3545.0,62.3,2908,37.7,2025
137,28,2020,,,,,,,,,,,,,70.0,4362,30.0,2110
138,28,2021,,,,,,,,,,,,,69.1,2958,30.9,1459
139,29,2015,50.5,3260.0,49.5,3311.0,19.1,1093.0,80.9,5425.0,28.8,1679.0,71.2,5091.0,73.0,4803,27.0,2048
140,29,2016,,,,,,,,,,,,,75.1,5063,24.9,2055
141,29,2017,47.4,3259.0,52.6,3681.0,18.9,1192.0,81.1,5708.0,28.5,1849.0,71.5,5311.0,70.8,4962,29.2,2259
142,29,2018,,,,,,,,,,,,,73.9,4331,26.1,1890
143,29,2019,44.4,2922.0,55.6,3756.0,17.1,1066.0,82.9,5528.0,27.8,1743.0,72.2,5181.0,69.4,4668,30.6,2369
144,29,2020,,,,,,,,,,,,,74.3,6668,25.7,2527
145,29,2021,,,,,,,,,,,,,74.7,8758,25.3,3489
146,30,2015,58.2,3163.0,41.8,2373.0,24.5,1217.0,75.5,4279.0,32.9,1670.0,67.1,4034.0,77.5,4312,22.5,1445
147,30,2016,,,,,,,,,,,,,80.1,4602,19.9,1362
148,30,2017,54.6,2850.0,45.4,2606.0,21.1,1019.0,78.9,4384.0,30.2,1531.0,69.8,4081.0,75.0,4066,25.0,1605
149,30,2018,,,,,,,,,,,,,77.3,3850,22.7,1334
150,30,2019,62.3,3704.0,37.7,2291.0,28.4,1616.0,71.6,4208.0,39.7,2325.0,60.3,3724.0,80.3,4910,19.7,1376
151,30,2020,,,,,,,,,,,,,81.1,5021,18.9,1284
152,30,2021,,,,,,,,,,,,,78.8,4812,21.2,1419
153,31,2015,51.3,8027.0,48.7,7851.0,21.8,2791.0,78.2,12933.0,31.2,4148.0,68.8,11969.0,74.6,11712,25.4,4607
154,31,2016,,,,,,,,,,,,,77.6,11201,22.4,3968
155,31,2017,49.4,6917.0,50.6,7005.0,19.0,2390.0,81.0,11389.0,29.8,3603.0,70.2,10500.0,74.6,10220,25.4,4076
156,31,2018,,,,,,,,,,,,,76.2,10699,23.8,3916
157,31,2019,48.0,7133.0,52.0,7446.0,20.9,2859.0,79.1,11367.0,34.8,4759.0,65.2,9889.0,73.1,10644,26.9,4493
158,31,2020,,,,,,,,,,,,,78.5,11241,21.5,3534
159,31,2021,,,,,,,,,,,,,75.8,10964,24.2,3940
160,32,2015,54.5,1515.0,45.5,1119.0,24.9,613.0,75.1,1991.0,34.4,855.0,65.6,1846.0,75.3,2070,24.7,668
161,32,2016,,,,,,,,,,,,,75.3,3296,24.7,1045
162,32,2017,47.0,1850.0,53.0,1598.0,19.5,775.0,80.5,2636.0,31.3,1118.0,68.7,2399.0,72.0,2658,28.0,912
163,32,2018,,,,,,,,,,,,,75.0,2469,25.0,751
164,32,2019,48.8,1399.0,51.2,1180.0,20.0,581.0,80.0,1951.0,34.3,931.0,65.7,1692.0,74.2,2064,25.8,628
165,32,2020,,,,,,,,,,,,,74.6,1909,25.4,569
166,32,2021,,,,,,,,,,,,,75.8,2104,24.2,629
167,33,2015,57.6,3586.0,42.4,2552.0,23.1,1287.0,76.9,4801.0,31.6,1778.0,68.4,4533.0,77.4,4867,22.6,1527
168,33,2016,,,,,,,,,,,,,80.7,4994,19.3,1418
169,33,2017,54.4,2888.0,45.6,2202.0,21.4,1058.0,78.6,3965.0,30.4,1489.0,69.6,3698.0,76.1,3991,23.9,1297
170,33,2018,,,,,,,,,,,,,78.5,4401,21.5,1329
171,33,2019,56.9,3067.0,43.1,2045.0,26.4,1352.0,73.6,3623.0,37.2,1921.0,62.8,3264.0,78.3,4188,21.7,1221
172,33,2020,,,,,,,,,,,,,80.7,5105,19.3,1324
173,33,2021,,,,,,,,,,,,,80.0,5093,20.0,1433
174,34,2015,48.9,5124.0,51.1,4927.0,20.8,2019.0,79.2,7876.0,31.5,3007.0,68.5,7271.0,72.8,7597,27.2,2889
175,34,2016,,,,,,,,,,,,,70.2,5295,29.8,2337
176,34,2017,48.9,5197.0,51.1,5225.0,21.9,2041.0,78.1,8257.0,32.8,3157.0,67.2,7503.0,71.0,7634,29.0,3199
177,34,2018,,,,,,,,,,,,,71.5,2249,28.5,837
178,34,2020,,,,,,,,,,,,,79.0,9062,21.0,2297
179,34,2021,,,,,,,,,,,,,75.9,6013,24.1,1935
180,35,2015,56.0,3412.0,44.0,2550.0,23.6,1285.0,76.4,4630.0,33.6,1810.0,66.4,4247.0,77.4,4618,22.6,1502
181,35,2016,,,,,,,,,,,,,79.7,4642,20.3,1378
182,35,2017,54.0,3204.0,46.0,2584.0,23.2,1245.0,76.8,4482.0,32.8,1752.0,67.2,4122.0,75.5,4425,24.5,1539
183,35,2018,,,,,,,,,,,,,77.8,5182,22.2,1530
184,35,2019,53.5,3093.0,46.5,2472.0,25.7,1431.0,74.3,4017.0,38.4,2117.0,61.6,3455.0,74.6,4258,25.4,1478
185,35,2020,,,,,,,,,,,,,77.0,5371,23.0,1630
186,35,2021,,,,,,,,,,,,,77.0,4854,23.0,1504
187,36,2015,47.1,5200.0,52.9,5257.0,20.0,2025.0,80.0,8287.0,30.2,3105.0,69.8,7648.0,70.7,7844,29.3,3125
188,36,2016,,,,,,,,,,,,,73.7,25150,26.3,8966
189,36,2017,49.3,5280.0,50.7,5174.0,19.8,2029.0,80.2,8267.0,29.9,3120.0,70.1,7618.0,72.8,8059,27.2,2924
190,36,2018,,,,,,,,,,,,,76.2,26459,23.8,9211
191,36,2019,50.2,6344.0,49.8,5705.0,24.1,2904.0,75.9,8694.0,37.9,4638.0,62.1,7638.0,72.8,9405,27.2,3545
192,36,2020,,,,,,,,,,,,,74.4,11214,25.6,3530
193,36,2021,,,,,,,,,,,,,74.2,28913,25.8,10051
194,37,2015,48.1,2960.0,51.9,3039.0,18.9,1088.0,81.1,4861.0,29.3,1689.0,70.7,4517.0,73.8,4607,26.2,1671
195,37,2016,,,,,,,,,,,,,76.7,4926,23.3,1602
196,37,2017,49.2,2175.0,50.8,2223.0,18.8,794.0,81.2,3572.0,29.4,1279.0,70.6,3283.0,74.4,3365,25.6,1246
197,37,2018,,,,,,,,,,,,,76.1,3545,23.9,1181
198,37,2019,49.7,1974.0,50.3,1939.0,21.6,807.0,78.4,3033.0,31.9,1262.0,68.1,2748.0,73.7,3024,26.3,1094
199,37,2020,,,,,,,,,,,,,77.3,4494,22.7,1344
200,37,2021,,,,,,,,,,,,,77.7,3813,22.3,1114
201,38,2015,47.0,2168.0,53.0,2290.0,17.7,701.0,82.3,3699.0,27.6,1117.0,72.4,3435.0,73.2,3328,26.8,1305
202,38,2016,,,,,,,,,,,,,77.8,4321,22.2,1408
203,38,2017,45.7,3004.0,54.3,3305.0,17.1,973.0,82.9,5259.0,30.2,1630.0,69.8,4828.0,72.4,4634,27.6,1930
204,38,2018,,,,,,,,,,,,,77.7,4220,22.3,1400
205,38,2019,46.9,2494.0,53.1,2687.0,20.1,977.0,79.9,4124.0,32.0,1602.0,68.0,3704.0,72.0,3836,28.0,1583
206,38,2020,,,,,,,,,,,,,75.4,3307,24.6,1158
207,38,2021,,,,,,,,,,,,,74.5,4302,25.5,1601
208,39,2015,50.2,5293.0,49.8,5246.0,19.7,1777.0,80.3,8624.0,29.5,2722.0,70.5,8059.0,73.0,7682,27.0,3281
209,39,2016,,,,,,,,,,,,,74.1,8626,25.9,3740
210,39,2017,47.8,5261.0,52.2,5863.0,18.3,1821.0,81.7,9150.0,29.2,2892.0,70.8,8425.0,70.4,7796,29.6,3721
211,39,2018,,,,,,,,,,,,,74.6,9033,25.4,3706
212,39,2019,48.0,5819.0,52.0,6237.0,20.9,2310.0,79.1,9359.0,34.7,3893.0,65.3,8365.0,71.7,8779,28.3,4044
213,39,2020,,,,,,,,,,,,,75.5,10566,24.5,4067
214,39,2021,,,,,,,,,,,,,74.0,10177,26.0,4110
215,4,2015,53.8,3905.0,46.2,2919.0,21.8,1454.0,78.2,5276.0,30.7,2061.0,69.3,4972.0,75.3,5439,24.7,1727
216,4,2016,,,,,,,,,,,,,76.9,8112,23.1,2809
217,4,2017,52.7,7544.0,47.3,5937.0,22.1,2962.0,77.9,10326.0,31.4,4189.0,68.6,9575.0,75.0,10546,25.0,3498
218,4,2018,,,,,,,,,,,,,77.9,6213,22.1,1861
219,4,2019,53.8,4571.0,46.2,3332.0,25.5,2072.0,74.5,5585.0,37.7,3050.0,62.3,4954.0,75.9,6310,24.1,2083
220,4,2020,,,,,,,,,,,,,77.6,7876,22.4,2400
221,4,2021,,,,,,,,,,,,,77.3,8209,22.7,2428
222,40,2015,46.6,2917.0,53.4,3331.0,16.9,908.0,83.1,5293.0,26.2,1445.0,73.8,4984.0,66.8,4235,33.2,2246
223,40,2016,,,,,,,,,,,,,71.5,4751,28.5,2161
224,40,2017,42.5,2504.0,57.5,3303.0,15.8,834.0,84.2,4884.0,25.5,1371.0,74.5,4655.0,67.6,4036,32.4,2091
225,40,2018,,,,,,,,,,,,,72.8,3725,27.2,1519
226,40,2019,37.3,2047.0,62.7,3283.0,15.6,803.0,84.4,4351.0,28.7,1584.0,71.3,4139.0,66.0,3896,34.0,2124
227,40,2020,,,,,,,,,,,,,71.4,3501,28.6,1536
228,40,2021,,,,,,,,,,,,,71.7,3802,28.3,1634
