,location_id,year,PAINDX2_yes_value,PAINDX2_yes_sample,PAINDX2_no_value,PAINDX2_no_sample,PASTAE2_yes_value,PASTAE2_yes_sample,PASTAE2_no_value,PASTAE2_no_sample,PASTRNG_yes_value,PASTRNG_yes_sample,PASTRNG_no_value,PASTRNG_no_sample,TOTINDA_yes_value,TOTINDA_yes_sample,TOTINDA_no_value,TOTINDA_no_sample
287,5,2017,45.4,2131.0,54.6,2559.0,16.5,647.0,83.5,3963.0,25.6,1009.0,74.4,3757.0,67.4,3110,32.6,1769
288,5,2018,,,,,,,,,,,,,69.0,3424,31.0,1922
289,5,2019,45.8,2277.0,54.2,2511.0,19.3,919.0,80.7,3664.0,32.2,1528.0,67.8,3274.0,68.8,3355,31.2,1731
290,5,2020,,,,,,,,,,,,,70.3,3497,29.7,1734
291,5,2021,,,,,,,,,,,,,69.4,3530,30.6,1826
292,50,2015,58.9,3487.0,41.1,2264.0,22.7,1263.0,77.3,4401.0,30.5,1735.0,69.5,4147.0,77.8,4729,22.2,1277
293,50,2016,,,,,,,,,,,,,80.5,5192,19.5,1333
294,50,2017,59.7,3526.0,40.3,2220.0,22.6,1294.0,77.4,4362.0,31.4,1777.0,68.6,4059.0,78.4,4701,21.6,1261
295,50,2018,,,,,,,,,,,,,81.1,5206,18.9,1330
296,50,2019,61.3,3663.0,38.7,2115.0,28.5,1676.0,71.5,3929.0,39.7,2322.0,60.3,3499.0,80.0,4833,20.0,1245
297,50,2020,,,,,,,,,,,,,81.8,5295,18.2,1229
298,50,2021,,,,,,,,,,,,,82.2,5448,17.8,1115
299,51,2015,51.0,4048.0,49.0,3743.0,22.1,1617.0,77.9,6091.0,32.3,2434.0,67.7,5578.0,74.8,6039,25.2,2075
300,51,2016,,,,,,,,,,,,,76.7,6818,23.3,2170
301,51,2017,50.8,4592.0,49.2,4073.0,21.8,1829.0,78.2,6709.0,32.5,2688.0,67.5,6166.0,74.0,6674,26.0,2349
302,51,2018,,,,,,,,,,,,,78.0,7793,22.0,2514
303,51,2019,49.3,4517.0,50.7,4392.0,22.7,1976.0,77.3,6699.0,35.8,3121.0,64.2,5932.0,74.7,6916,25.3,2505
304,51,2020,,,,,,,,,,,,,79.1,7345,20.9,2186
305,51,2021,,,,,,,,,,,,,79.1,7722,20.9,2140
306,53,2015,58.4,8920.0,41.6,5488.0,22.7,3219.0,77.3,11033.0,31.8,4414.0,68.2,10369.0,81.0,12164,19.0,2849
307,53,2016,,,,,,,,,,,,,82.4,11704,17.6,2524
308,53,2017,58.0,7216.0,42.0,4689.0,23.5,2717.0,76.5,9038.0,32.6,3788.0,67.4,8400.0,80.8,9962,19.2,2421
309,53,2018,,,,,,,,,,,,,82.4,10709,17.6,2382
310,53,2019,58.4,7099.0,41.6,4403.0,25.9,3063.0,74.1,8142.0,36.5,4293.0,63.5,7376.0,80.8,9801,19.2,2316
311,53,2020,,,,,,,,,,,,,82.2,10528,17.8,2354
312,53,2021,,,,,,,,,,,,,82.2,10716,17.8,2407
313,54,2015,48.0,2669.0,52.0,2826.0,13.8,721.0,86.2,4735.0,20.9,1115.0,79.1,4543.0,69.2,3943,30.8,1769
314,54,2016,,,,,,,,,,,,,71.5,5097,28.5,2048
315,54,2017,48.1,2444.0,51.9,2669.0,15.1,714.0,84.9,4377.0,22.6,1075.0,77.4,4174.0,68.4,3560,31.6,1726
316,54,2018,,,,,,,,,,,,,71.8,3437,28.2,1458
317,54,2019,47.2,2269.0,52.8,2657.0,17.1,776.0,82.9,4042.0,26.1,1251.0,73.9,3772.0,68.8,3456,31.2,1719
318,54,2020,,,,,,,,,,,,,70.3,4019,29.7,1849
319,54,2021,,,,,,,,,,,,,69.5,4640,30.5,2094
320,55,2015,56.8,3100.0,43.2,2282.0,20.1,1038.0,79.9,4287.0,28.6,1477.0,71.4,3966.0,78.4,4244,21.6,1290
321,55,2016,,,,,,,,,,,,,80.0,4133,20.0,1137
322,55,2017,57.1,2985.0,42.9,2098.0,21.2,1090.0,78.8,3939.0,30.6,1516.0,69.4,3626.0,77.6,4075,22.4,1183
323,55,2018,,,,,,,,,,,,,78.2,3888,21.8,1100
324,55,2019,54.6,2565.0,45.4,1880.0,24.7,1143.0,75.3,3182.0,36.2,1695.0,63.8,2811.0,76.8,3591,23.2,1105
325,55,2020,,,,,,,,,,,,,79.5,4039,20.5,1057
326,55,2021,,,,,,,,,,,,,79.7,4821,20.3,1277
327,56,2015,54.4,2689.0,45.6,2139.0,23.4,958.0,76.6,3812.0,32.1,1349.0,67.9,3617.0,73.8,3634,26.2,1406
328,56,2016,,,,,,,,,,,,,76.9,3307,23.1,1176
329,56,2017,53.9,2280.0,46.1,1877.0,23.0,891.0,77.0,3234.0,32.9,1296.0,67.1,2947.0,74.3,3118,25.7,1164
330,56,2018,,,,,,,,,,,,,78.3,3387,21.7,1072
331,56,2019,54.0,2380.0,46.0,1888.0,24.5,1034.0,75.5,3136.0,38.0,1561.0,62.0,2781.0,75.4,3307,24.6,1178
332,56,2020,,,,,,,,,,,,,77.6,3548,22.4,1247
333,56,2021,,,,,,,,,,,,,77.1,3308,22.9,1097
334,6,2015,57.3,6289.0,42.7,4364.0,22.9,2546.0,77.1,8017.0,33.0,3595.0,67.0,7150.0,80.0,8793,20.0,2111
335,6,2016,,,,,,,,,,,,,79.5,9155,20.5,2231
336,6,2017,57.5,4787.0,42.5,3197.0,23.9,2017.0,76.1,5862.0,34.3,2808.0,65.7,5213.0,80.0,6659,20.0,1567
337,6,2018,,,,,,,,,,,,,79.0,9476,21.0,2435
338,6,2019,54.1,5752.0,45.9,4655.0,22.6,2342.0,77.4,7910.0,33.7,3471.0,66.3,6960.0,77.6,8293,22.4,2408
339,6,2020,,,,,,,,,,,,,78.8,3892,21.2,905
340,6,2021,,,,,,,,,,,,,79.9,5439,20.1,1294
341,66,2015,48.8,713.0,51.2,770.0,21.4,321.0,78.6,1148.0,32.0,481.0,68.0,1010.0,68.9,1044,31.1,470
342,66,2016,,,,,,,,,,,,,70.4,1150,29.6,428
343,66,2017,44.6,636.0,55.4,715.0,21.8,284.0,78.2,1053.0,32.5,424.0,67.5,937.0,66.6,948,33.4,436
344,66,2018,,,,,,,,,,,,,70.0,1198,30.0,445
345,66,2019,45.4,1092.0,54.6,1113.0,20.9,483.0,79.1,1686.0,36.0,800.0,64.0,1444.0,70.8,1659,29.2,642
346,66,2020,,,,,,,,,,,,,74.2,1646,25.8,536
347,66,2021,,,,,,,,,,,,,70.1,1198,29.9,460
348,72,2015,34.1,1696.0,65.9,3534.0,8.1,356.0,91.9,4869.0,10.9,493.0,89.1,4803.0,51.9,2660,48.1,2641
349,72,2016,,,,,,,,,,,,,58.3,3315,41.7,2475
350,72,2017,19.6,853.0,80.4,3478.0,5.4,210.0,94.6,4112.0,9.8,390.0,90.2,4022.0,46.0,2052,54.0,2369
351,72,2018,,,,,,,,,,,,,52.7,2533,47.3,2306
352,72,2019,30.2,1733.0,69.8,4066.0,7.3,385.0,92.7,5401.0,11.6,606.0,88.4,5298.0,49.4,2872,50.6,3044
353,72,2020,,,,,,,,,,,,,54.2,2722,45.8,2219
354,72,2021,,,,,,,,,,,,,53.9,2218,46.1,1793
355,78,2016,,,,,,,,,,,,,74.0,957,26.0,308
356,78,2021,,,,,,,,,,,,,78.1,1067,21.9,315
357,8,2015,60.6,7035.0,39.4,4300.0,26.2,2844.0,73.8,8388.0,35.4,3807.0,64.6,7817.0,82.1,9577,17.9,2215
358,8,2016,,,,,,,,,,,,,84.2,12468,15.8,2470
359,8,2017,58.7,5135.0,41.3,3240.0,26.0,2168.0,74.0,6117.0,35.5,2940.0,64.5,5615.0,80.6,7041,19.4,1630
360,8,2018,,,,,,,,,,,,,83.6,7353,16.4,1526
361,8,2019,58.4,5030.0,41.6,3263.0,27.4,2317.0,72.6,5804.0,39.3,3285.0,60.7,5093.0,81.3,7045,18.7,1594
362,8,2020,,,,,,,,,,,,,83.4,8423,16.6,1750
363,8,2021,,,,,,,,,,,,,83.3,8686,16.7,1766
364,9,2015,54.5,5730.0,45.5,4438.0,21.3,2135.0,78.7,7930.0,31.2,3091.0,68.8,7317.0,76.5,8106,23.5,2475
365,9,2016,,,,,,,,,,,,,78.7,8657,21.3,2376
366,9,2017,51.9,5109.0,48.1,4148.0,22.8,2060.0,77.2,7073.0,33.6,3005.0,66.4,6449.0,76.0,7438,24.0,2203
367,9,2018,,,,,,,,,,,,,77.6,8393,22.4,2301
368,9,2019,53.4,4665.0,46.6,3449.0,26.1,2177.0,73.9,5708.0,39.4,3240.0,60.6,4996.0,76.5,6658,23.5,1932
369,9,2020,,,,,,,,,,,,,79.4,7156,20.6,1809
370,9,2021,,,,,,,,,,,,,77.1,6566,22.9,1760
